[enu default]
SCEN2LINE80= "HB: grow up, yeah, sure, says the\nmidget.";
// Naz_1
SCEN2LINE81= "HH: Wow. I am so offended right now.\nLook at that magnificent diss that\nwasted me three seconds. Wow, so\nworth my time.";
// Nue_6
SCEN2LINE82= "HB: i meant your temper, you didn't have\nto go asswild egobaiting and berating\nme all over the place.";
// Naz_1
SCEN2LINE83= "HH: Joking aside, seriously, you're\npretty much there already. No need to\nkeep running off your mouth anymore.\nThis isn't a marathon. I was just kidding\naround.";
// Nue_4
SCEN2LINE84= "HB: man, why couldn't BB walk me\nthrough this instead? she's the one\nwho knows how to read this stuff raw,\nright???";
// Nue_6
SCEN2LINE85= "HB: and she's way nicer than you by a\nlong-shot.";
// Naz_6
SCEN2LINE86= "HH: Because, if her guardian found out she\nwas in on this, she'd probably be in big\ntrouble and then we'd lose the only\nperson who knew what the runes actually\nmean.";
// Naz_7
SCEN2LINE87= "HH: AND THEN, I WOULDN'T BE ABLE TO WRITE\nTHE CODE AND I'D BE DEPRIVED OF ANY\nPOSSIBLE VALUABLES!";
// Nue_2
SCEN2LINE88= "HB: you just want to impress everyone,\nhuh?";
// Naz_1
SCEN2LINE89= "HH: I don't want to hear that from you\nof all people. Just get going.";
SCEN2LINE90= "> Nue: Just get going.";

// Tries to Leave 4
SCEN2LINE90a= "You have your goal in sight and yet you want to leave?\n\nGet back in there and finish it!";

// In the Core Room
SCEN2LINE91= "> Nue: Contact HH.";
// Nue_1
SCEN2LINE92= "HB: um... there's a part missing.";
// Naz_4
SCEN2LINE93= "HH: Aw, what?";
// Naz_6
SCEN2LINE94= "HH: Whatever, just get what you can. I'll\nfind out myself.";
SCEN2LINE95= "> Nue: Behold rambunctious, radioactive crow.";
// Naz_1
SCEN2LINE96= "HH: Uhh... what's that?";
// Nue_5
SCEN2LINE97= "HB: oh, dammit.";
SCEN2LINE98= "> Be the egoist.";

// Nazrin Introduction
SCEN2LINE99= "You are now viewing this douche bag while Nue is being\npestered by that ALBINO DEEPCROW-LOOKING THING.\n\nShow us the NAMETAG already, DICKLE!";
SCEN2LINE100= "NAZRIN";
SCEN2LINE101= "> Be Nazrin.";
SCEN2LINE102= "Your name is NAZRIN because last names are for CHUMPS. You\nhave a variety of INTERESTS. In your spare time, you like to\ngo TREASURE HUNTING or SPELUNKING in general. ";
SCEN2LINE103= "Being the winner that you are, you love rewarding yourself\nwith HEAPS OF FOOD due to your FAMELICOSE nature. You have\nquite a knack for FINDING CLUES and PIECING THEM TOGETHER,\nwhich is why you've taken the responsibility of being the\nCODELORD.";
SCEN2LINE104= "Despite the title, you find coding extremely AGGRAVATING as\nyou are not too fond of TRIAL AND ERROR but are doing it\nanyway for the RECOGNITION and possible REWARDS.";
SCEN2LINE105= "You've been going by the preachhandle: \c[Nazrin]hungryHoarder\c-.";
SCEN2LINE105a= "You've been going by the preachhandle: hungryHoarder.";
SCEN2LINE106= "You \c[Nazrin]talk fast and straight to the point so any idiot can\n\c[Nazrin]understand.";
SCEN2LINE106a= "You talk fast and straight to the point so any idiot can understand.";
SCEN2LINE107= "At the moment, you've been supervising \"OPERATION:\nCOLLECT THE CODE SO I CAN GET ALL THE REWARDS. ALL OF\nTHEM\" via your own room.";
SCEN2LINE108= "Oh! Looks like your DUMBASS FRIEND finally got around to\nuploading the CODES! Looks like the freaky crow left too.\n\nYou are so ready... to do the thing with the codes...";
SCEN2LINE109= "Fun Fact: you can type TWICE AS FAST as SCRUBLORD Nue.\nThis is something you learned on your own because you're";
SCEN2LINE109a= "SO COOL, WOW!!";
SCEN2LINE109b= "Fun Fact: you can type TWICE AS FAST as SCRUBLORD Nue.\nThis is something you learned on your own because you're SO COOL, WOW!!";
SCEN2LINE110= "> Nazrin: Retrieve translation.";
SCEN2LINE111= "It also looks like BB finally sent you the TRANSLATION of the\nRUNE THINGIES. Time to turn this into ACTUAL CODE.\n\nIt'll work. You know it will.";
SCEN2LINE112= "Aaaaand... it's done burning!\n\nYeah, you're just that fast because you're just that good.";
SCEN2LINE113= "> Nazrin: Captchalogue first copy.";
SCEN2LINE114= "WHAT THE HECK!?";
SCEN2LINE115= "> Nazrin: Express disbelief!";
// Naz_5
SCEN2LINE116= "NAZRIN:";
SCEN2LINE116a= "WHAT THE\nHECK!?";
SCEN2LINE117= "Looks like that CREEPY ASS BIRD just stole your CD. You're\nunbelievably PISSED AS SHIT right now, but you'd prefer not\nto talk about it...";
SCEN2LINE118= "Well, at least you got your CD back. It looks a little\nscratched up, and it's caked with prints all over it, but you\ntry not to think about it too much. You'll dust it off later.";
SCEN2LINE119= "> Nazrin: Slowly try to captchalogue the CD...";
SCEN2LINE120= "That's one disc down! But, there's still plenty left to burn.\n\nIt's going to be a long night...";
SCEN2LINE121= "> Nazrin: Stop being Nazrin.";
SCEN2LINE122= "Weeks into the future, but not much... Back at the present.";

// Tries to Leave Without Codes
SCEN2LINE123= "You can't go on without the codes! Go back and get them!";

////////////////////
// Scenario 1 //////
////////////////////
//Hijiri Introduction
SCEN1LINE1= "A young lady stands in her bedroom. It just so happens that\ntoday, the 13th day of Shiwasu, is this young lady's\nbirthday. Though it was several years ago she was given\nlife, it is only today she will be given a name!";
SCEN1LINE2= "What will the name of this young lady be?";
SCEN1LINE3= "Oh, wait, just like everyone else, she came with a\nDESIGNATED NAMETAG shortly after her birth. What does\nthat NAMETAG say on it?";
SCEN1LINE4= "BYAKUREN HIJIRI";
SCEN1LINE5= "> Be Byakuren.";
SCEN1LINE6= "Your name is BYAKUREN. As was previously mentioned, and is\nas written in thousands of other adventures like this, it is\nyour BIRTHDAY. Or at least, what you assume it to be.";
SCEN1LINE7= "Your INTERESTS don't include much, really, as having\nINTERESTS leads to one being too materialistic, which you\nperceive as an incredibly BAD THING. Your room is almost\nempty save for hints of your LOVE FOR SCRIBING and studying\nPSYCHURGY.";
SCEN1LINE8= "Just like your late BROTHER, you are an aspiring MAGICIAN.\nFrom time to time, you also like to partake in COMPETITIVE\nACTIVITIES against people. Additionally, as a health nut,\nyou're actually incredibly fit and STRONG for your age.";
SCEN1LINE9= "You go by the preachhandle: \c[HIJIRI]virtuousBlossom\c-.\n\nThis is the name you use when talking to people online.";
SCEN1LINE9a= "You go by the preachhandle: virtuousBlossom. This is the name you use when talking to people online.";
SCEN1LINE10= "You \c[Hijiri]converse in a way that's coated with subtle vilification.\c-";
SCEN1LINE10a= "You converse in a way that's coated with subtle vilification.";
SCEN1LINE11= "It just so happens that today was also the day that you and\na few friends decided to initiate in a friendly competition\nvia playing a game another friend had just recently coded\nfor the occasion. Competition is fun.";
SCEN1LINE12= "However, there's no need to rush. You are free to explore\naround your house before getting down into business.  Right\nnow, you're just waiting for the mail to arrive.";
SCEN1LINE13= "Speak of the devil, looks like someone's at the door. That\nshould probably be the aforementioned package.";
//Switch to Player
SCEN1LINE14= "> Byakuren: Retrieve package.";
//Hijiri Gets What's Coming to her
SCEN1LINE87= "It looks like your package has finally arrived.";
SCEN1LINE89= "> Byakuren: Captchalogue package.";
SCEN1LINE90= "> Byakuren: Exposit on whatever that was all about.";
SCEN1LINE91= "Oh, that's right. You had recently switched out your fetch\nmodus for INVENTORRENT like everyone else when you all\ndecided to play this game. It's what you use as sort of like\nan inventory. Like in the video games.";
SCEN1LINE92= "Everything you captchalogue can be seeded and leeched by\neveryone you have in your file sharing group to erase the\nhassles of captcha codes in order to ensure a successful\ngroup effort.";
SCEN1LINE93= "This is also to make sure that nobody captchalogues\nanything harmful while working with others as all items\nare visible to everyone in the group.";
SCEN1LINE94= "Thankfully, it has a system that allows you to either set\ncaptchalogued items to public or private. Yours has been\nset to public by default as you totally have nothing to hide. ";
SCEN1LINE95= "However, the file sharing was rigged to not activate until\nboth team leaders approve. You and this other person have\nagreed not to activate it until everyone is playing the game.\nFor now, it works like a regular fetch modus. It's a pretty\nhandy fetch modus.";
SCEN1LINE95a= "> Byakuren: Return to your room.";
SCEN1LINE96= "You should open that package now and see what you got.\n\nSo exciting.";
// Trying to leave
SCEN1LINE97= "You have more important things to do than leave the house.\nThere's nothing out there for you anyways.";
//Hijiri Opens Shou's Package
SCEN1LINE15= "Oh, it's the OTHER PACKAGE. This one is from your DRUNKARD\nOF A FRIEND.\n\nThere's a little note attached to it.";
SCEN1LINE16= "hey hijiri happy birthday!! don't forget to take the tiger\nback to mike tyson's house without dying!!!";
SCEN1LINE17= "you're a cool friend so i thought you'd want this thing... i've\nhad it since i was little and its kinda important to me and\nyou're a cool friend like i said so i'm giving it to you so take\ncare of it ok -from DB";
SCEN1LINE18= "Well, that was nice of them. You're surprised they actually\nremembered your birthday, though. It seems like they're\nthe only one who sent you anything resembling a present.\nYou're not into material things, but it's a bit heartwarming.";
SCEN1LINE19= "You've never seen a real live tiger before in your life.\nThey've probably died off due to human cruelty or just\noverhunting in general. That's a shame, really.";
SCEN1LINE20= "Or... perhaps, they just never existed in the first place and\nare just a myth. A made-up creature for bedtime stories.\n\nWho knows? ";
SCEN1LINE21= "> Byakuren: Captchalogue tiger doll.";
SCEN1LINE22= "> Byakuren: Consider a complaint.";
SCEN1LINE23= "This wasn't the right package. You should go confront the\nexpected sender about the whereabouts of the package\nyou've been waiting for.";
// Examines Computer
SCEN1LINE24= "Byakuren: Examine COMPUTER.";
SCEN1LINE25= "Byakuren: Save progress.";
SCEN1LINE26= "This is your computer. There's a little camera attached to\nit, as with most computers made this day are. It always\nsort of creeped you out before, but you got used to it.";
SCEN1LINE27= "With that said, you should probably pick up that package\nbefore preaching to your friends.";
// Examines Computer (Nazrin conversation)
SCEN1LINE28= "You've been spending a lot of your time here, handling\nbusiness with your faithful followers. There's not much on\nyour desktop aside from zipped up files of unknown\ncontents. Your PREACHBUM application is really the only\nthing you use on here.";
SCEN1LINE29= "> Byakuren: Open Preachbum.";
SCEN1LINE30= "There's one person you really want to preach to right\nnow...";
SCEN1LINE31= "> Byakuren: Converse.";
SCEN1LINE32= "\c[Hijiri]virtuousBlossom [VB]\c-\n\nstarted preaching to\n\n\c[Nazrin]hungryHoarder [HH]";
SCEN1LINE32a= "virtuousBlossom [VB] started preaching to hungryHoarder [HH]";
//Byak_1
SCEN1LINE33= "VB: Hey, I'm here to inquire about how\nlate the package you were planning on\nsending is. You stated so yourself that\nyou expected it to have arrived at my\nplace on the 13th, didn't you?";
//Naz_1
SCEN1LINE34= "HH: Well, yeah, it should be there. Don't\ndoubt me.";
//Byak_1
SCEN1LINE35= "VB: I'm not, I'm just asking, in case you\nforgot.";
//Naz_1
SCEN1LINE36= "HH: Like I said, don't doubt me. I went\nthrough a lot of crazy bananas\nshenanigans to get that thing set up. I\ncan assure you that it will work just\nfine and it WILL arrive on time.";
//Naz_6
SCEN1LINE37= "HH: So don't get on my jock so hard for it,\nyou don't know who you're even talking to.";
//Byak_6
SCEN1LINE38= "VB: Yes, yes, I'm aware of the wannabe\narmy commander I'm conversing with at\nthe moment.";
//Naz_1
SCEN1LINE39= "HH: You should really watch what\nyou're saying, Hijiri."; //Pause
SCEN1LINE40= "HH: Nevermind, it doesn't matter, just\nbe patient, it should arrive soon.";
//Byak_6
SCEN1LINE41= "VB: Did you send it after you sent\neveryone else's?";
//Naz_6
SCEN1LINE42= "HH: No, your highness, I sent it to you\nfirst. Like you asked.";
//Naz_2
SCEN1LINE43= "HH: I've got it sorted out, so don't flip\nout so much.";
//Byak_3
SCEN1LINE44= "VB: No need to be so condescending,\ncommander.";
//Naz_1
SCEN1LINE45= "HH: Yeah, okay, all I can tell you is to be\npatient. Chat over, I have other shit to\ndeal with at the moment. Good luck\nwith the package.";
//End
SCEN1LINE46= "\c[Nazrin]hungryHoarder [HH]\c-\n\nceased preaching to\n\n\c[Hijiri]virtuousBlossom [VB]";
SCEN1LINE46a= "hungryHoarder [HH] ceased preaching to virtuousBlossom [VB]";
//After Naz Conversation
SCEN1LINE47= "> Byakuren: Be someone else.";
SCEN1LINE47a= "Byakuren: Be someone else.";
SCEN1LINE48= "> Byakuren: Continue exploring.";
SCEN1LINE48a= "Byakuren: Continue exploring.";
SCEN1LINE49= "Weeks in the past, but not many, in a rather secluded part\nof the planet...";
// Table Scroll 1
SCEN1LINE50= "This is a VERY IMPORTANT HISTORICAL DOCUMENT which you\nhave been studying for some time now. You believe it may\nhold secrets to UNLOCKING THE MYSTERIES OF THE UNIVERSE.";
SCEN1LINE51= "...To be honest, it just seems like a bunch of CRYPTIC\nMESSAGES that probably don't pertain to anything. It's\nentertaining to read anyway.";
// Table Scroll 2
SCEN1LINE52= "You've been writing quite a lot lately. Your latest work has\na lot to do with ATTAINING NIRVANA. Such a shame that it's\nTOO LATE FOR YOU.";
// Dresser
SCEN1LINE53= "Nothing of interest in here. You don't wear much as there's\nno need to have an over-abundance of clothing. Material\nthings are poisonous to the soul.";
// Wall Scroll
SCEN1LINE54= "You're particularly proud of this scroll which is why you've\nleft it hanging up here right above your bed. It used to be\nyour brother's, back when he was still around.";
// Plant 1
SCEN1LINE55= "This plant isn't very flashy-looking, and you appreciate it\nfor that. It's one of the few things you tolerate having\naround in your room.";
// Shelf
SCEN1LINE56= "You haven't gone outside for quite a while now. Even then,\nthis looks empty either way. It's half as empty since your\nbrother's passing. ";
// Plant 2
SCEN1LINE57= "It's another PLANT. However, it's not as neat as the plant\nin your room so you gave it to your brother instead.\nHopefully, he appreciates the gesture.";
// Candles
SCEN1LINE58= "It's a plate of incredibly SHITTY CANDLES. You didn't want to\nwaste them so you've been leaving them unlit. Like a lot of\nthings, candles are hard to get these days.";
// Urn
SCEN1LINE59= "This is where your BROTHER'S ASHES are. He died quite\nsometime ago and ever since then you've been wary about\ndeath yourself. Especially in the same nature as his death.";
SCEN1LINE60= "You don't remember much about his death, though.\n\nOr rather, you choose not to.";
// Flowers
SCEN1LINE60a= "It's only respectful to leave OFFERINGS for the dead. If they\ncame back from the grave and notice that you've been\nneglectful of them, they'd be pretty sore. Or something.\nLike those zombie movies.";
// Storage Room
SCEN1LINE61= "This is the storage room. There's no reason for you to go in\nhere at the moment.";
// Bath Tub
SCEN1LINE62= "There was once this famous guy who wrote while in his\nbathtub. You wonder how hard it was for him to keep the\npaper dry. Nevertheless, you contemplate of doing the\nsame thing someday...";
SCEN1LINE63= "No, that would mean you'd be indulging yourself, so you\ndecide against it.";
// Bathroom Window
SCEN1LINE64= "There's nothing outside. You're situated somewhat near\nthe mountains. So unless you want to look at squirrels, or\nan empty road, there's really nothing of interest to see\nhere.";
// Bathroom Sink
SCEN1LINE65= "You've got your MODEST GARBS on and your hair is the usual\nGRADIENT as always.\n\nNothing to see here.";
// Toilet
SCEN1LINE66= "This piece of plumbing has been with you for years. It's\nolder than you, definitely. It has not, even once, broken on\nyou. Good toilet, best friend.";
// Kitchen Plant
SCEN1LINE67= "No matter how you look at it, it's just a normal houseplant.";
// Stove
SCEN1LINE68= "Clean as usual. You will never allow animal blood to be\nspilled on anything you eat. You have kept to a healthy\nvegan diet so you haven't really touched the stove as\nmuch.";
// Microwave
SCEN1LINE69= "You're not sure if it's safe to even keep one around. These\ndays, microwaves run on nuclear power and you have no\nidea why but you're definitely sure it's unhealthy to most\nof the population.";
SCEN1LINE70= "If anything, it shortens life spans which is something you'd\nwant to avoid. A useless device, indeed. Such a shame to the\nrest of the lazy populace out there that don't realize this.";
SCEN1LINE71= "So shameful!";
// Chair Graffiti
SCEN1LINE72= "There's some writing underneath this chair...\n\n\c[DarkGray][2:49:26 PM] SpaceGhostPurpp: O'DOYLE RULEZ";
SCEN1LINE72a= "There's some writing underneath this chair... [2:49:26 PM] SpaceGhostPurpp: O'DOYLE RULEZ";
// Dishwasher
SCEN1LINE73= "There's nothing in there but a few bowls. Your brother\nused to be quite good at magic tricks involving bowls. But,\nnowadays, you just eat  from them. Their circus act days\nare over.";
// Laundry Bin
SCEN1LINE74= "There's not much in here. Everything else is in the cabinet\nin your room. ";
// Dustpan and Broom
SCEN1LINE75= "You make sure that the house is kept clean at all times.\nThough, sometimes, you wish that you could just hire a\nperson to do this.";
// Washing Machine and Dryer
SCEN1LINE76= "You don't use them much. You absolutely refuse to use\nmost electric appliances since you're quite wary of bills.\nThe only appliance you really use is your computer. Come\non, you're not really made of money here.";
// Laundry Hamper
SCEN1LINE78= "The clothes look so forlorn, just sitting there, but it's\nnone of your business. At least not now. You've got a game\nto play.";
// Wall Scroll
SCEN1LINE79= "It looks like the wall scroll in your room but it's just a\nconvincing replica.\n\nYour brother was quite renowned.";
SCEN1LINE80= "It almost bothers you.";
// Plant 3
SCEN1LINE81= "It's another plant. It adds some zen in the hallway, in\naddition to the all the zen that Buddha statue is already\npassin' around. White, hot, zenpocalypse.";
// Buddha Statue
SCEN1LINE82= "You're pretty sure that keeping one around your house will\nensure prosperity and all that other good stuff, yeah. It\nalso looks good here in the hallway, you have to admit.";
// Scroll Cabinet
SCEN1LINE83= "This is your scroll cabinet. Everything you've scribed goes\nhere. It's pretty much your hobby to write IMPORTANT\nTHINGS down for future generations to follow. Maybe.\nSomeday. You hope.";
// Game Guide
SCEN1LINE84= "A game guide you \"ordered\" a while ago. You've studied it so\nmany times that the pages have been looking worn as of\nlate. There is nothing wrong with wanting to be prepared.";
// Balcony Windows
SCEN1LINE85= "This window looks out onto your balcony. You can see little\nflakes of snow fall onto its deck. You've always found\nbeauty in nature's simplicities.";
// Windows on Balcony
SCEN1LINE86= "Now that you're actually out in the freezing cold, the inside\nof your house looks very cozy and warm. It really doesn't\nhelp that you're not in warm clothes either.";

////////////////////
// Menu ////////////
////////////////////
// New Game
MENU1LINE2= "T#!5 dIs( !s +o0 b@d/Y d@m4g3d.\n\nY0u (4n n0 /on6&r p1@y D3s1redr!v&n.";
MENU1LINE3= "R39ue5t!n9 5(ra7c# r3p4ir.";
MENU1LINE4= "P13a$e w4i7 0n3 m0m3n+.";
MENU1LINE5= "R&p@1rin9 s<r4t(h.";
MENU1LINE6= "Repair complete.";
MENU1LINE7= "Re-inserted Disc 2.\n\nYou may resume playing Desiredriven.";
MENU1LINE8= "Please select \"Continue\" in the menu to resume your\nsession.";
//Save CVAR found
MENU1LINE1= "Inserted Disc 2.";
MENU2LINE1= "Save data has been found.\n\nPlease select \"Continue\" in the menu.";
//Crashed Game
MENU3LINE1= "Desiredriven has crashed.";
MENU3LINE2= "Please wait one moment.";
MENU3LINE3= "Desiredriven has successfully rebooted.";
//Load Screen
MENU4LINE1= "Now resuming your Desiredriven session...";
MENU4LINE1a= "Would you like to resume your session?";
MENU4LINE1b= "> Yes";
MENU4LINE1c= "Yes";
MENU4LINE1d= "> No";
MENU4LINE1e= "No";
MENU4LINE1f= "If you decline, the game will be forced to throw you back to a more stable section in the session.\n\n...Proceed anyway?";
MENU4LINE2= "L O A D";
MENU4LINE3= "Session:\n\nScene 1";
//Global 
ITEMCANCEL= "Cancel.";
ITEMSAVE1= "Saving your progress.";
ITEMSAVE2= "Saving your progress..";
ITEMSAVE3= "Saving your progress...";
ITEMSAVED= "Your progress has been saved.";
GGSAVED = "";
LOADNET = "";
QLOADNET = "";
QSAVESPOT = "";
SAVEDEAD = "";
QSPROMPT = "";
QLPROMPT = "";
NEWGAME = "";
DOSY = "";
STSTR_NCON = "Ghost Mode ON";
STSTR_NCOFF = "Ghost Mode OFF";
STSTR_NC2ON = "Super Ghost Mode ON";
